generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Galago_thomasi,Tarsius_dentatus,0,0.032,0,0.005,0
10000,Galago_thomasi,Tarsius_dentatus,0,0.194236,0.0258883,0.238767,0
10000,Macaca_sylvanus,Semnopithecus_priam,46.7401,0.50765,-0.0232354,0.00911008,0
20000,Galago_thomasi,Tarsius_dentatus,0,0.0820722,0.00479579,0.0143212,0
20000,Hapalemur_occidentalis,Hapalemur_alaotrensis,60.4433,0.343858,0.0351794,0.184959,0
20000,Varecia_rubra,Phaner_pallescens,24.0062,0.152332,0.0100898,0.0460067,0
20000,Cacajao_calvus,Alouatta_pigra,36.2998,0.267405,0.0211416,0.211906,0
20000,Semnopithecus_priam,Trachypithecus_laotum,56.5665,0.555199,0.00616342,0.328292,0
20000,Macaca_sylvanus,Semnopithecus_priam,46.631,0.227093,0.0369463,0.0109181,0
30000,Galago_thomasi,Tarsius_dentatus,0,0.236877,0.00770082,0.282747,0
30000,Macaca_sylvanus,Semnopithecus_priam,46.9641,0.4195,-0.0183772,0.010436,0
40000,Galago_thomasi,Tarsius_dentatus,0,0.0757659,0.00993938,0.048881,0
40000,Varecia_rubra,Phaner_pallescens,18.4287,0.112096,0.0212618,0.0083618,0
40000,Cacajao_calvus,Alouatta_pigra,31.7255,0.293835,-5.57204e-05,0.12695,0
40000,Hoolock_hoolock,Symphalangus_syndactylus,51.5933,0.274237,0.0040217,0.306064,0
40000,Macaca_sylvanus,Semnopithecus_priam,43.5748,0.401442,-0.0146853,0.0123982,0
50000,Galago_thomasi,Tarsius_dentatus,0,0.196568,0.00851965,0.193664,0
50000,Macaca_sylvanus,Semnopithecus_priam,46.563,0.473418,-0.0204602,0.0490073,0
60000,Galago_thomasi,Tarsius_dentatus,0,0.099259,0.0297518,0.0925522,0
60000,Cacajao_calvus,Alouatta_pigra,27.7604,0.313956,0.0220925,0.326684,0
60000,Macaca_sylvanus,Semnopithecus_priam,45.914,0.36612,-0.00220172,0.00867728,0
70000,Galago_thomasi,Tarsius_dentatus,0,0.163215,0.0215664,0.195657,0
70000,Macaca_sylvanus,Semnopithecus_priam,42.515,0.30458,0.0246303,0.0500906,0
80000,Galago_thomasi,Tarsius_dentatus,0,0.189607,0.0195251,0.255758,0
80000,Cacajao_calvus,Pongo_abelii,10.5391,0.168489,0.0180798,0.00465097,0
90000,Galago_thomasi,Tarsius_dentatus,0,0.122553,0.030651,0.132987,0
