generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.76404,-1287.57,1,0
10000,1,2.92285,-931.563,0.76872,0.4087
20000,5,6.27137,-912.662,6.41331,0.386681
30000,1,4.31739,-929.923,0.582889,0.3935
40000,4,10.8777,-914.081,3.34636,0.4182
50000,1,4.57587,-927.37,0.270346,0.412612
60000,2,6.1029,-920.238,0.589876,0.401343
70000,1,4.1244,-930.096,0.322511,0.393475
80000,1,4.66716,-928.963,0.54135,0.4093
90000,2,5.13373,-924.422,0.309426,0.40865
100000,2,6.66786,-930.085,1.01025,0.410975
110000,2,5.33042,-929.431,1.54023,0.404257
120000,1,4.59215,-930.861,0.84561,0.3896
130000,2,5.74599,-922.849,0.74477,0.40814
140000,4,8.09734,-919.377,3.51337,0.40248
150000,3,8.54894,-919.958,1.45313,0.4475
160000,1,5.40013,-929.197,0.512605,0.40125
170000,1,3.30818,-928.37,0.700017,0.4046
180000,1,5.36806,-931.141,0.270272,0.402775
190000,3,4.6226,-926.882,2.1017,0.4014
200000,1,5.28275,-928.451,1.23559,0.41054
210000,2,8.24013,-925.956,0.564338,0.40815
220000,2,5.1438,-930.611,1.89033,0.43215
230000,1,4.35839,-929.285,0.169287,0.4285
240000,2,4.2332,-925.64,2.50079,0.400629
250000,2,7.4874,-925.016,0.394283,0.3922
260000,1,3.28511,-928.69,0.884929,0.414986
270000,1,5.21457,-927.263,0.112085,0.410375
280000,1,1.6005,-929.93,2.16197,0.4015
290000,1,5.44096,-928.241,0.423355,0.3802
300000,1,5.44714,-926.044,0.959308,0.420312
310000,1,5.3091,-927.032,0.356282,0.41872
320000,1,5.42945,-926.912,0.193594,0.4243
330000,3,7.75628,-927.7,1.07209,0.4038
340000,1,2.68402,-924.277,3.25065,0.4047
350000,4,14.0503,-921.603,1.53638,0.404583
360000,2,7.05603,-927.1,0.230909,0.4405
370000,3,9.43993,-922.112,1.4802,0.4286
380000,3,6.11039,-927.28,1.09944,0.4315
390000,2,7.31111,-920.036,1.84832,0.4244
400000,3,10.8061,-921.249,1.24609,0.4357
410000,2,5.04048,-921.533,1.54728,0.421075
420000,1,5.72012,-925.123,0.605706,0.412408
430000,3,9.63905,-924.085,2.3247,0.429833
440000,2,3.39068,-927.155,1.55489,0.4175
450000,2,3.96584,-922.841,3.16843,0.4079
460000,2,5.06365,-924.485,2.03891,0.422
470000,1,6.23234,-927.9,0.22578,0.414883
480000,1,3.69052,-928.611,0.59843,0.42758
490000,3,10.6221,-924.496,1.40885,0.4337
500000,2,7.53748,-924.343,1.10882,0.4288
510000,2,8.38271,-922.689,1.11771,0.4242
520000,1,4.16197,-926.594,1.97089,0.4084
530000,4,11.9764,-921.134,1.60402,0.4193
540000,3,7.34598,-924.149,2.29924,0.415538
550000,2,7.26212,-931.242,1.02061,0.415333
560000,2,4.61315,-925.005,1.34325,0.408333
570000,2,1.45909,-932.249,2.14751,0.4037
580000,1,5.51161,-926.806,0.729888,0.420608
590000,1,5.09642,-929.613,0.206587,0.40155
600000,1,5.26136,-928.237,0.404893,0.4018
