generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Galago_thomasi,Tarsius_dentatus,0,0.032,0,0.005,0
10000,Galago_thomasi,Tarsius_dentatus,0,0.231273,0.00316576,0.209309,0
10000,Macaca_sylvanus,Semnopithecus_priam,50.1237,0.458145,-0.015299,0.00570393,0
20000,Galago_thomasi,Tarsius_dentatus,0,0.226718,0.00394944,0.204198,0
20000,Callithrix_saterei,Callithrix_aurita,57.2109,0.651629,0.014634,0.488071,0
20000,Macaca_sylvanus,Semnopithecus_priam,48.9955,0.59701,-0.0287732,0.0499522,0
30000,Galago_thomasi,Tarsius_dentatus,0,0.216572,0.00419503,0.187713,0
30000,Cacajao_calvus,Pongo_abelii,17.8981,0.236764,0.0046698,0.0157927,0
40000,Galago_thomasi,Tarsius_dentatus,0,0.186689,0.0121827,0.208179,0
40000,Saguinus_fuscicollis,Leontopithecus_rosalia,51.8885,0.280779,0.0111352,0.0986588,0
40000,Macaca_sylvanus,Semnopithecus_priam,43.923,0.29618,0.000769963,0.0184607,0
50000,Galago_thomasi,Tarsius_dentatus,0,0.195768,0.00568905,0.151898,0
50000,Daubentonia_madagascariensis,NA,51.0492,0.00205224,0.0193759,0.350185,0
50000,Macaca_sylvanus,Semnopithecus_priam,50.6711,0.467305,-0.0306614,0.00103046,0
60000,Galago_thomasi,Tarsius_dentatus,0,0.121819,0.0171356,0.126852,0
60000,Alouatta_palliata,NA,65.1074,0.0278702,-0.01977,0.365365,0
60000,Cacajao_calvus,Pongo_abelii,20.0629,0.152619,0.0264622,0.0133338,0
70000,Galago_thomasi,Tarsius_dentatus,0,0.0810873,0.0193854,0.0343837,0
70000,Lepilemur_aeeclis,Lepilemur_seali,58.1519,0.503871,-0.00915112,0.221324,0
70000,Cacajao_calvus,Pongo_abelii,14.7809,0.194921,0.0116659,0.0190094,0
80000,Galago_thomasi,Tarsius_dentatus,0,0.0852924,0.0206554,0.0824879,0
80000,Lepilemur_aeeclis,Lepilemur_seali,55.7866,0.399956,0.00415404,0.0110384,0
80000,Microcebus_macarthurii,Microcebus_rufus,60.1029,0.462842,-0.0273001,0.286224,0
80000,Cacajao_calvus,Pongo_abelii,21.2346,0.169265,0.0215431,0.00780668,0
90000,Galago_thomasi,Tarsius_dentatus,0,0.0975912,0.0113548,0.0700654,0
90000,Perodicticus_potto,Arctocebus_calabarensis,40.7291,0.28095,-0.00615437,0.179923,0
90000,Phaner_pallescens,NA,63.8583,0.00967653,0.00185865,0.0976551,0
90000,Lepilemur_aeeclis,Lepilemur_microdon,60.0012,0.404168,0.0177811,0.163375,0
90000,Cacajao_calvus,Pongo_abelii,20.3156,0.141841,0.0359161,0.0336807,0
100000,Galago_thomasi,Tarsius_dentatus,0,0.14378,0.00606435,0.0727596,0
100000,Cacajao_calvus,Pongo_abelii,6.28748,0.200568,0.0105399,0.023177,0
110000,Galago_thomasi,Tarsius_dentatus,0,0.26586,-0.00353991,0.201292,0
110000,Varecia_rubra,Phaner_pallescens,29.3093,0.213818,0.0103635,0.18248,0
110000,Cercopithecus_preussi,Cercopithecus_lhoesti,64.3664,0.224278,-0.0242038,0.206017,0
110000,Cacajao_calvus,Pongo_abelii,21.5661,0.216256,0.0137378,0.0403696,0
120000,Galago_thomasi,Tarsius_dentatus,0,0.1377,0.00797036,0.0942515,0
120000,Lepilemur_aeeclis,Lepilemur_seali,57.0025,0.410876,0.0101427,0.092222,0
120000,Tarsius_dentatus,Tarsius_bancanus,36.3471,0.111176,0.00628108,0.203438,0
120000,Macaca_sylvanus,Theropithecus_gelada,58.6336,0.444385,0.000860526,0.0693923,0
120000,Allocebus_trichotis,Mirza_coquereli,44.558,0.238962,-0.0117988,0.0141872,0
120000,Semnopithecus_priam,Presbytis_potenziani,57.4342,0.389403,-0.00272729,0.0158195,0
120000,Cacajao_calvus,Pongo_abelii,8.47925,0.142946,0.0188791,0.0518578,0
130000,Galago_thomasi,Tarsius_dentatus,0,0.102891,0.00907729,0.0464216,0
130000,Lepilemur_aeeclis,Lepilemur_microdon,60.121,0.327923,-0.019572,0.132353,0
130000,Piliocolobus_pennantii,Piliocolobus_preussi,65.8026,0.388962,0.00467658,0.17755,0
130000,Rhinopithecus_avunculus,NA,65.5765,0.00978538,-0.00550257,0.241704,0
130000,Indri_indri,NA,65.9943,0.535804,-0.0164016,0.00735398,0
130000,Cacajao_calvus,Pongo_abelii,12.7979,0.1587,0.0153808,0.030662,0
140000,Galago_thomasi,Tarsius_dentatus,0,0.140966,0.0135526,0.159883,0
140000,Cacajao_calvus,Pongo_abelii,3.77142,0.182303,0.0130968,0.0342061,0
150000,Galago_thomasi,Tarsius_dentatus,0,0.141253,-0.00558427,0.0415553,0
150000,Lepilemur_aeeclis,Lepilemur_seali,51.3871,0.827604,-0.0233262,0.240671,0
150000,Avahi_peyrierasi,Avahi_betsilio,65.9096,0.0144996,0.0153647,0.0621937,0
150000,Presbytis_femoralis,NA,64.6611,0.0784425,-0.0278962,0.326673,0
150000,Cacajao_calvus,Pongo_abelii,20.9228,0.196834,0.0182233,0.0286034,0
160000,Galago_thomasi,Tarsius_dentatus,0,0.113018,0.0416934,0.157424,0
160000,Trachypithecus_auratus,NA,66.0378,0.0191859,0.00179517,0.0811212,0
160000,Cacajao_calvus,Pongo_abelii,13.7324,0.172376,0.022465,0.0161612,0
170000,Galago_thomasi,Tarsius_dentatus,0,0.198457,0.00641465,0.165649,0
170000,Daubentonia_madagascariensis,NA,35.9369,0.40778,-0.00724446,0.423123,0
