generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.94132,-1285.68,1,0
10000,1,3.71126,-915.863,1.70758,0.374463
20000,2,4.33832,-914.867,0.499612,0.38795
30000,1,6.19742,-918.401,0.177401,0.3849
40000,2,8.16205,-913.504,0.784676,0.398015
50000,2,5.5775,-911.037,1.36878,0.3944
60000,2,6.39757,-915.159,1.37833,0.419233
70000,2,6.4145,-910.332,2.07564,0.4458
80000,3,6.74569,-906.486,2.88805,0.418114
90000,4,8.88686,-912.742,4.63737,0.4532
100000,1,5.98981,-920.464,0.73862,0.40792
110000,3,8.93648,-914.871,1.85855,0.4208
120000,6,16.3274,-904.276,4.73365,0.4432
130000,5,11.1318,-915.086,6.00466,0.438475
140000,1,3.30518,-918.019,2.88457,0.44485
150000,4,10.01,-925.232,2.08463,0.4401
160000,2,4.78086,-917.348,2.16379,0.43915
170000,3,5.35386,-910.895,1.94124,0.420075
180000,1,5.49442,-915.253,0.743942,0.416133
190000,3,9.64916,-909.375,1.62337,0.42075
200000,6,12.6988,-906.043,4.90924,0.4232
210000,6,16.0172,-902.851,2.57665,0.4298
220000,4,12.0178,-898.94,2.60953,0.4205
230000,1,5.85193,-917.954,0.0987003,0.421394
240000,1,4.79467,-916.259,0.752875,0.4426
250000,1,4.35546,-915.866,0.361401,0.412243
260000,2,8.01689,-916.328,0.964129,0.4122
270000,1,4.58334,-918.121,0.0738082,0.412167
280000,1,5.5216,-916.438,0.440054,0.41895
290000,1,3.04791,-918.386,1.06552,0.40385
300000,1,3.55155,-914.138,1.30289,0.4035
310000,2,5.22377,-910.713,1.77113,0.4048
320000,2,6.84326,-917.918,0.946435,0.40495
330000,2,6.88646,-910.662,0.51377,0.4131
340000,1,4.43985,-914.414,1.04238,0.40015
350000,6,12.103,-909.61,3.60946,0.4342
360000,1,4.311,-918.947,0.518333,0.40145
370000,4,11.1486,-912.719,2.39817,0.432325
380000,1,5.14559,-915.013,0.574322,0.40235
390000,2,6.55196,-914.247,1.5077,0.4132
400000,1,3.01479,-921.559,1.41282,0.423867
410000,3,9.5259,-917.864,1.95004,0.415231
420000,1,3.44615,-916.237,2.10555,0.3984
430000,2,3.73,-914.347,1.21211,0.4307
440000,3,10.0865,-914.303,1.3344,0.4258
450000,1,5.911,-919.398,0.707271,0.4323
460000,3,7.54543,-913.221,3.47978,0.4251
470000,2,3.82183,-912.001,1.82892,0.4235
480000,2,5.56723,-915.031,1.26212,0.4004
490000,1,4.58623,-919.207,0.828436,0.41025
500000,1,4.38944,-917.163,1.4644,0.410582
510000,1,5.48441,-918.559,0.299733,0.3909
520000,1,4.99658,-913.351,0.348851,0.4338
530000,4,8.7673,-912.82,3.1481,0.431382
540000,1,5.12577,-917.041,0.772156,0.3921
550000,2,8.03776,-913.788,1.22404,0.4216
560000,3,11.0926,-911.922,0.843279,0.41625
570000,3,5.11202,-915.605,2.35169,0.411
580000,3,6.66032,-913.242,1.5779,0.4124
590000,1,4.55366,-914.852,0.392384,0.40042
600000,1,5.20308,-917.175,0.568818,0.422733
610000,1,5.38178,-916.866,0.58581,0.411
620000,2,2.39016,-911.517,2.83551,0.417533
630000,3,7.75874,-906.463,1.34441,0.428
640000,1,5.73037,-916.111,0.69086,0.421875
650000,4,8.4778,-908.153,2.90315,0.4421
660000,3,8.7724,-915.592,1.66576,0.424767
670000,1,4.80396,-916.657,0.949297,0.419467
680000,3,5.81038,-911.739,2.80981,0.42575
690000,1,5.36529,-919.718,0.411268,0.4116
700000,4,9.80006,-912.36,0.763325,0.408567
710000,2,5.88471,-910.884,2.26679,0.41482
720000,2,0.457673,-914.978,1.07514,0.4245
730000,2,2.63861,-913.383,1.64751,0.406433
740000,1,5.21169,-919.498,1.35859,0.4244
750000,2,8.76641,-916.8,0.575102,0.4491
760000,1,5.67826,-918.262,0.789905,0.3933
770000,1,5.32909,-915.069,0.763962,0.41584
780000,1,5.57292,-917.535,0.314061,0.4141
790000,2,6.48317,-919.315,2.05107,0.4049
800000,2,6.81276,-919.028,2.67125,0.414893
810000,3,5.12347,-910.632,2.51858,0.406
820000,2,6.74913,-914.717,2.76372,0.4338
830000,2,2.58243,-912.771,1.70976,0.4188
840000,1,5.83922,-922.014,0.159206,0.4256
850000,2,5.15405,-918.318,2.37607,0.4093
860000,1,5.27382,-914.734,0.383023,0.415913
870000,1,4.45883,-916.937,0.658879,0.413056
880000,1,4.17476,-918.429,0.241638,0.416
890000,0,2.47486,-930.728,0.078194,0.37225
900000,2,6.2287,-916.644,1.46043,0.3162
910000,1,5.76137,-916.302,0.338491,0.397983
920000,3,7.93368,-910.741,3.68304,0.4008
930000,4,11.3248,-908.744,1.64934,0.423729
940000,1,4.97843,-914.008,0.689981,0.4144
950000,1,2.66437,-919.865,1.39515,0.4113
960000,1,4.62926,-915.669,1.01113,0.420317
970000,1,5.49849,-916.569,0.285565,0.3967
980000,2,6.98103,-915.318,1.56424,0.4061
990000,2,6.36339,-914.067,1.38345,0.3658
1000000,1,4.24663,-918.97,1.437,0.406592
1010000,1,4.67697,-915.241,0.390868,0.40442
1020000,2,6.55199,-912.111,1.41977,0.3959
1030000,1,3.50284,-915.889,2.34037,0.4259
1040000,2,7.05047,-912.673,0.235342,0.399675
1050000,1,4.79305,-917.99,1.02901,0.41245
1060000,1,5.10357,-915.245,0.970784,0.4017
1070000,2,5.4552,-917.887,1.3891,0.4008
1080000,3,9.66353,-913.97,1.33893,0.406567
1090000,1,4.05761,-915.903,0.685629,0.399275
1100000,1,0.87479,-919.834,1.65495,0.40344
1110000,1,5.10179,-915.346,0.331737,0.3956
1120000,5,14.6538,-906.503,2.69973,0.393233
1130000,1,4.65786,-916.681,0.265335,0.42075
1140000,1,5.68245,-918.907,0.123665,0.4048
1150000,1,4.74023,-917.682,0.44423,0.4058
1160000,2,4.80422,-915.281,1.49955,0.387033
1170000,3,6.48412,-913.05,1.32158,0.4335
1180000,3,6.49475,-911.787,1.36919,0.42145
1190000,3,5.35415,-911.847,4.63585,0.441
1200000,1,1.76248,-919.211,1.71581,0.424225
1210000,2,5.03602,-915.056,2.343,0.3964
1220000,4,12.0624,-907.339,1.86212,0.432
1230000,1,5.03708,-919.544,0.726511,0.4392
1240000,2,6.02249,-914.454,2.18178,0.41075
1250000,1,4.53511,-917.18,0.66218,0.3837
1260000,1,3.07138,-919.467,2.19085,0.422922
1270000,1,3.73617,-916.975,2.15376,0.413162
1280000,2,5.35414,-913.961,1.86198,0.414533
1290000,2,7.33872,-918.778,0.336196,0.415267
1300000,1,4.90226,-914.619,0.814194,0.425233
1310000,1,4.48399,-914.786,1.00172,0.419737
1320000,3,6.75077,-910.109,3.05238,0.4308
1330000,3,5.91016,-919.316,3.16782,0.4252
1340000,2,0.702446,-914.73,0.422386,0.4157
1350000,1,5.22233,-921.381,1.08642,0.417925
1360000,1,1.97629,-915.67,0.298614,0.419683
1370000,1,5.12766,-918.395,0.859636,0.3973
1380000,2,5.39564,-910.151,0.765938,0.40307
1390000,5,13.557,-896.688,2.40096,0.435
1400000,4,9.09006,-906.422,4.00561,0.410525
1410000,1,4.67119,-917.103,1.8289,0.414529
1420000,4,10.6964,-902.657,2.76843,0.4414
1430000,1,3.81532,-917.991,0.0639623,0.407975
1440000,3,6.50558,-917.663,0.815184,0.43575
1450000,1,5.7629,-918.55,0.532445,0.40286
1460000,1,4.47353,-918.309,0.880163,0.4187
1470000,4,6.27118,-916.063,3.5369,0.428867
1480000,1,4.84766,-920.273,0.604401,0.413173
1490000,3,6.70103,-913.487,2.53036,0.41255
1500000,4,8.52171,-912.403,0.66304,0.449167
1510000,1,6.2082,-919.227,0.380421,0.4096
1520000,3,9.68613,-906.503,1.85509,0.4131
1530000,1,3.58472,-916.386,0.666692,0.414529
1540000,2,6.20891,-914.814,1.31434,0.39605
1550000,1,5.12982,-916.125,0.442847,0.4002
1560000,1,4.78672,-919.222,1.10341,0.40195
1570000,2,3.95595,-911.546,2.10483,0.40495
1580000,3,8.25239,-903.201,2.46039,0.40215
1590000,1,5.21109,-913.77,0.585908,0.39465
1600000,1,3.51484,-918.758,2.12721,0.40784
1610000,2,4.88979,-913.151,2.10792,0.41045
1620000,3,4.83455,-909.47,2.04674,0.418475
1630000,5,15.1053,-905.671,2.84445,0.4526
1640000,4,14.9262,-908.719,0.321916,0.433275
1650000,1,4.34814,-917.694,0.903032,0.4116
1660000,1,5.40098,-916.137,0.686544,0.39605
1670000,1,3.75508,-914.948,1.19144,0.4102
1680000,2,8.54796,-915.306,0.664716,0.407233
1690000,3,9.74996,-911.617,0.703461,0.40472
1700000,1,4.74226,-914.365,0.817109,0.401275
1710000,3,8.83764,-915.448,1.29411,0.4049
1720000,1,5.06913,-916.835,0.599677,0.40338
1730000,5,10.5696,-912.548,4.6038,0.4173
1740000,2,7.2401,-909.164,0.0775039,0.41786
1750000,3,5.14607,-908.795,3.80273,0.4128
1760000,2,7.18063,-913.236,1.35919,0.40998
1770000,4,10.1,-913.708,1.95374,0.44075
1780000,2,6.22571,-915.534,1.0584,0.40274
1790000,1,4.43445,-916.844,0.690637,0.400533
1800000,2,8.26575,-909.573,0.657787,0.39385
1810000,4,10.6839,-914.292,1.45399,0.41395
1820000,2,7.39559,-908.324,0.559943,0.402733
1830000,3,9.74865,-913.897,0.863552,0.413033
1840000,2,7.60533,-912.049,0.410208,0.4218
1850000,2,7.01798,-912.834,0.455521,0.418233
1860000,3,7.55323,-909.267,3.17089,0.418144
1870000,1,5.25951,-919.004,0.433874,0.43575
1880000,1,3.84532,-916.263,1.48196,0.40695
1890000,1,4.89833,-920.663,0.816375,0.411125
1900000,3,5.57099,-911.848,4.21208,0.4143
1910000,2,3.3771,-919.705,2.07324,0.4051
1920000,3,5.55869,-912.402,2.51342,0.40906
1930000,1,5.76095,-915.353,0.330747,0.4079
1940000,2,7.4675,-909.587,1.61669,0.4344
1950000,4,9.59539,-903.53,4.03764,0.3993
1960000,5,13.9735,-899.519,2.37697,0.4376
1970000,5,12.2464,-898.898,2.09156,0.410792
1980000,4,13.8152,-903.379,1.08616,0.416656
1990000,2,8.09564,-909.846,0.791053,0.4179
2000000,1,4.63289,-916.959,0.390483,0.4059
2010000,3,7.24334,-905.403,1.92584,0.43988
2020000,2,6.15218,-914.524,1.33035,0.41345
2030000,3,9.11543,-910.543,1.41301,0.418867
2040000,2,6.89563,-913.346,0.899557,0.41095
2050000,3,9.6799,-909.713,2.63586,0.442
2060000,1,0.858408,-916.441,1.23349,0.4382
2070000,3,8.42537,-904.037,1.6836,0.4127
2080000,2,7.93474,-915.5,0.580663,0.4408
2090000,3,7.86549,-910.676,2.2026,0.421845
2100000,2,6.79942,-917.86,1.04412,0.416067
2110000,2,7.83547,-912.884,1.26765,0.4431
2120000,2,7.97761,-912.229,1.2623,0.440025
